handle,reason
btbot.hackdefendr.com,Bot that only posts links posts links to one blog and the links are not clickable
chaichne.bsky.social,Adult anime content
cyberawarenessbb.bsky.social,Hashtag spamming the content of others
d4lnehzexploit.bsky.social,Screenshots of unrelated posts
hackread.bsky.social,Recycles old news
mihajlopi.bsky.social,Automated weather station bot that includes #APT in posts
turingbot.bsky.social,LLM bot that does not cite sources
undercodenews.bsky.social,Bot that publishes vendor PR
calebpr.bsky.social,Terrible AI summaries
dientu.bsky.socisl,Bot that posts spam listings for computers in vietnamese
2rzikkbou3ntafnir2qmmse0gwz.activitypub.awakari.com.ap.brid.gy,spam
buzzleaktv,spam
